dates,ID,turno,linea_utilizada,produccion,piezas_a_scrap,apellido,nombre
"Jan 8, 2025",44,Mañana,Linea 2,230,5,Torres,Javier
"Jan 8, 2025",45,Tarde,Linea 1,181,6,Flores,Rosa
"Jan 8, 2025",46,Tarde,Linea 2,218,7,Hernández,María
"Jan 8, 2025",47,Noche,Linea 1,169,8,Ruiz,Francisco
"Jan 8, 2025",48,Noche,Linea 2,206,9,Ramírez,Elena
"Jan 9, 2025",49,Mañana,Linea 1,157,10,Fernández,José
"Jan 9, 2025",50,Mañana,Linea 2,194,11,López,Pedro
"Jan 9, 2025",51,Tarde,Linea 1,231,12,Morales,Patricia
"Jan 9, 2025",52,Tarde,Linea 2,182,0,Sánchez,Miguel
"Jan 9, 2025",53,Noche,Linea 1,219,1,Rodríguez,Laura
"Jan 9, 2025",54,Noche,Linea 2,170,2,Martínez,Ana
"Jan 10, 2025",55,Mañana,Linea 1,207,3,Díaz,Antonio
"Jan 10, 2025",56,Mañana,Linea 2,158,4,Pérez,Carmen
"Jan 10, 2025",57,Tarde,Linea 1,195,5,González,Luis
"Jan 10, 2025",58,Tarde,Linea 2,232,6,García,Carlos
"Jan 10, 2025",59,Noche,Linea 1,183,7,Torres,Javier
"Jan 10, 2025",60,Noche,Linea 2,220,8,Flores,Rosa
"Jan 11, 2025",61,Mañana,Linea 1,171,9,Hernández,María
"Jan 11, 2025",62,Mañana,Linea 2,208,10,Ruiz,Francisco
"Jan 11, 2025",63,Tarde,Linea 1,159,11,Ramírez,Elena
"Jan 11, 2025",64,Tarde,Linea 2,196,12,Fernández,José
"Jan 11, 2025",65,Noche,Linea 1,233,0,López,Pedro
"Jan 11, 2025",66,Noche,Linea 2,184,1,Morales,Patricia
"Jan 12, 2025",67,Mañana,Linea 1,221,2,Sánchez,Miguel
"Jan 12, 2025",68,Mañana,Linea 2,172,3,Rodríguez,Laura
"Jan 12, 2025",69,Tarde,Linea 1,209,4,Martínez,Ana
"Jan 12, 2025",70,Tarde,Linea 2,160,5,Díaz,Antonio
"Jan 12, 2025",71,Noche,Linea 1,197,6,Pérez,Carmen
"Jan 12, 2025",72,Noche,Linea 2,234,7,González,Luis
"Jan 13, 2025",73,Mañana,Linea 1,185,8,García,Carlos
"Jan 13, 2025",74,Mañana,Linea 2,222,9,Torres,Javier
"Jan 13, 2025",75,Tarde,Linea 1,173,10,Flores,Rosa
"Jan 13, 2025",76,Tarde,Linea 2,210,11,Hernández,María
"Jan 13, 2025",77,Noche,Linea 1,161,12,Ruiz,Francisco
"Jan 13, 2025",78,Noche,Linea 2,198,0,Ramírez,Elena
"Jan 14, 2025",79,Mañana,Linea 1,235,1,Fernández,José
"Jan 14, 2025",80,Mañana,Linea 2,186,2,López,Pedro
"Jan 14, 2025",81,Tarde,Linea 1,223,3,Morales,Patricia
"Jan 14, 2025",82,Tarde,Linea 2,174,4,Sánchez,Miguel
"Jan 14, 2025",83,Noche,Linea 1,211,5,Rodríguez,Laura
"Jan 14, 2025",84,Noche,Linea 2,162,6,Martínez,Ana
"Jan 15, 2025",85,Mañana,Linea 1,199,7,Díaz,Antonio
"Jan 15, 2025",86,Mañana,Linea 2,150,8,Pérez,Carmen
"Jan 15, 2025",87,Tarde,Linea 1,187,9,González,Luis
"Jan 15, 2025",88,Tarde,Linea 2,224,10,García,Carlos
"Jan 15, 2025",89,Noche,Linea 1,175,11,Torres,Javier
"Jan 15, 2025",90,Noche,Linea 2,212,12,Flores,Rosa
"Jan 16, 2025",91,Mañana,Linea 1,163,0,Hernández,María
"Jan 16, 2025",92,Mañana,Linea 2,200,1,Ruiz,Francisco
"Jan 16, 2025",93,Tarde,Linea 1,151,2,Ramírez,Elena
"Jan 16, 2025",94,Tarde,Linea 2,188,3,Fernández,José
"Jan 16, 2025",95,Noche,Linea 1,225,4,López,Pedro
"Jan 16, 2025",96,Noche,Linea 2,176,5,Morales,Patricia
"Jan 17, 2025",97,Mañana,Linea 1,213,6,Sánchez,Miguel
"Jan 17, 2025",98,Mañana,Linea 2,164,7,Rodríguez,Laura
"Jan 17, 2025",99,Tarde,Linea 1,201,8,Martínez,Ana
"Jan 17, 2025",100,Tarde,Linea 2,152,9,Díaz,Antonio
"Jan 17, 2025",101,Noche,Linea 1,189,10,Pérez,Carmen
"Jan 17, 2025",102,Noche,Linea 2,226,11,González,Luis
"Jan 18, 2025",103,Mañana,Linea 1,177,12,García,Carlos
"Jan 18, 2025",104,Mañana,Linea 2,214,0,Torres,Javier
"Jan 18, 2025",105,Tarde,Linea 1,165,1,Flores,Rosa
"Jan 18, 2025",106,Tarde,Linea 2,202,2,Hernández,María
"Jan 18, 2025",107,Noche,Linea 1,153,3,Ruiz,Francisco
"Jan 18, 2025",108,Noche,Linea 2,190,4,Ramírez,Elena
"Jan 19, 2025",109,Mañana,Linea 1,227,5,Fernández,José
"Jan 19, 2025",110,Mañana,Linea 2,178,6,López,Pedro
"Jan 19, 2025",111,Tarde,Linea 1,215,7,Morales,Patricia
"Jan 19, 2025",112,Tarde,Linea 2,166,8,Sánchez,Miguel
"Jan 19, 2025",113,Noche,Linea 1,203,9,Rodríguez,Laura
"Jan 19, 2025",114,Noche,Linea 2,154,10,Martínez,Ana
"Jan 20, 2025",115,Mañana,Linea 1,191,11,Díaz,Antonio
"Jan 20, 2025",116,Mañana,Linea 2,228,12,Pérez,Carmen
"Jan 20, 2025",117,Tarde,Linea 1,179,0,González,Luis
"Jan 20, 2025",118,Tarde,Linea 2,216,1,García,Carlos
"Jan 20, 2025",119,Noche,Linea 1,167,2,Torres,Javier
"Jan 20, 2025",120,Noche,Linea 2,204,3,Flores,Rosa
"Jan 21, 2025",121,Mañana,Linea 1,155,4,Hernández,María
"Jan 21, 2025",122,Mañana,Linea 2,192,5,Ruiz,Francisco
"Jan 21, 2025",123,Tarde,Linea 1,229,6,Ramírez,Elena
"Jan 21, 2025",124,Tarde,Linea 2,180,7,Fernández,José
"Jan 21, 2025",125,Noche,Linea 1,217,8,López,Pedro
"Jan 21, 2025",126,Noche,Linea 2,168,9,Morales,Patricia
"Jan 22, 2025",127,Mañana,Linea 1,205,10,Sánchez,Miguel
"Jan 22, 2025",128,Mañana,Linea 2,156,11,Rodríguez,Laura
"Jan 22, 2025",129,Tarde,Linea 1,193,12,Martínez,Ana
"Jan 22, 2025",130,Tarde,Linea 2,230,0,Díaz,Antonio
"Jan 22, 2025",131,Noche,Linea 1,181,1,Pérez,Carmen
"Jan 22, 2025",132,Noche,Linea 2,218,2,González,Luis
"Jan 23, 2025",133,Mañana,Linea 1,169,3,García,Carlos
"Jan 23, 2025",134,Mañana,Linea 2,206,4,Torres,Javier
"Jan 23, 2025",135,Tarde,Linea 1,157,5,Flores,Rosa
"Jan 23, 2025",136,Tarde,Linea 2,194,6,Hernández,María
"Jan 23, 2025",137,Noche,Linea 1,231,7,Ruiz,Francisco
"Jan 23, 2025",138,Noche,Linea 2,182,8,Ramírez,Elena
"Jan 24, 2025",139,Mañana,Linea 1,219,9,Fernández,José
"Jan 24, 2025",140,Mañana,Linea 2,170,10,López,Pedro
"Jan 24, 2025",141,Tarde,Linea 1,207,11,Morales,Patricia
"Jan 24, 2025",142,Tarde,Linea 2,158,12,Sánchez,Miguel
"Jan 24, 2025",143,Noche,Linea 1,195,0,Rodríguez,Laura
"Jan 24, 2025",144,Noche,Linea 2,232,1,Martínez,Ana
"Jan 25, 2025",145,Mañana,Linea 1,183,2,Díaz,Antonio
"Jan 25, 2025",146,Mañana,Linea 2,220,3,Pérez,Carmen
"Jan 25, 2025",147,Tarde,Linea 1,171,4,González,Luis
"Jan 25, 2025",148,Tarde,Linea 2,208,5,García,Carlos
"Jan 25, 2025",149,Noche,Linea 1,159,6,Torres,Javier
"Jan 25, 2025",150,Noche,Linea 2,196,7,Flores,Rosa
"Jan 26, 2025",151,Mañana,Linea 1,233,8,Hernández,María
"Jan 26, 2025",152,Mañana,Linea 2,184,9,Ruiz,Francisco
"Jan 26, 2025",153,Tarde,Linea 1,221,10,Ramírez,Elena
"Jan 26, 2025",154,Tarde,Linea 2,172,11,Fernández,José
"Jan 26, 2025",155,Noche,Linea 1,209,12,López,Pedro
"Jan 26, 2025",156,Noche,Linea 2,160,0,Morales,Patricia
"Jan 27, 2025",157,Mañana,Linea 1,197,1,Sánchez,Miguel
"Jan 27, 2025",158,Mañana,Linea 2,234,2,Rodríguez,Laura
"Jan 27, 2025",159,Tarde,Linea 1,185,3,Martínez,Ana
"Jan 27, 2025",160,Tarde,Linea 2,222,4,Díaz,Antonio
"Jan 27, 2025",161,Noche,Linea 1,173,5,Pérez,Carmen
"Jan 27, 2025",162,Noche,Linea 2,210,6,González,Luis
"Jan 28, 2025",163,Mañana,Linea 1,161,7,García,Carlos
"Jan 28, 2025",164,Mañana,Linea 2,198,8,Torres,Javier
"Jan 28, 2025",165,Tarde,Linea 1,235,9,Flores,Rosa
"Jan 28, 2025",166,Tarde,Linea 2,186,10,Hernández,María
"Jan 28, 2025",167,Noche,Linea 1,223,11,Ruiz,Francisco
"Jan 28, 2025",168,Noche,Linea 2,174,12,Ramírez,Elena
"Jan 29, 2025",169,Mañana,Linea 1,211,0,Fernández,José
"Jan 29, 2025",170,Mañana,Linea 2,162,1,López,Pedro
"Jan 29, 2025",171,Tarde,Linea 1,199,2,Morales,Patricia
"Jan 29, 2025",172,Tarde,Linea 2,150,3,Sánchez,Miguel
"Jan 29, 2025",173,Noche,Linea 1,187,4,Rodríguez,Laura
"Jan 29, 2025",174,Noche,Linea 2,224,5,Martínez,Ana
"Jan 30, 2025",175,Mañana,Linea 1,175,6,Díaz,Antonio
"Jan 30, 2025",176,Mañana,Linea 2,212,7,Pérez,Carmen
"Jan 30, 2025",177,Tarde,Linea 1,163,8,González,Luis
"Jan 30, 2025",178,Tarde,Linea 2,200,9,García,Carlos
"Jan 30, 2025",179,Noche,Linea 1,151,10,Torres,Javier
"Jan 30, 2025",180,Noche,Linea 2,188,11,Flores,Rosa
"Jan 31, 2025",181,Mañana,Linea 1,225,12,Hernández,María
"Jan 31, 2025",182,Mañana,Linea 2,176,0,Ruiz,Francisco
"Jan 31, 2025",183,Tarde,Linea 1,213,1,Ramírez,Elena
"Jan 31, 2025",184,Tarde,Linea 2,164,2,Fernández,José
"Jan 31, 2025",185,Noche,Linea 1,201,3,López,Pedro
"Jan 31, 2025",186,Noche,Linea 2,152,4,Morales,Patricia
"Feb 1, 2025",187,Mañana,Linea 1,189,5,Sánchez,Miguel
"Feb 1, 2025",188,Tarde,Linea 1,226,6,Rodríguez,Laura
"Feb 1, 2025",189,Noche,Linea 1,177,7,Martínez,Ana
"Feb 2, 2025",190,Mañana,Linea 1,214,8,Díaz,Antonio
"Feb 2, 2025",191,Tarde,Linea 1,165,9,Pérez,Carmen
"Feb 2, 2025",192,Noche,Linea 1,202,10,González,Luis
"Feb 3, 2025",193,Mañana,Linea 1,153,11,García,Carlos
"Feb 3, 2025",194,Tarde,Linea 1,190,12,Torres,Javier
"Feb 3, 2025",195,Noche,Linea 1,227,0,Flores,Rosa
"Feb 4, 2025",196,Mañana,Linea 1,178,1,Hernández,María
"Feb 4, 2025",197,Tarde,Linea 1,215,2,Ruiz,Francisco
"Feb 4, 2025",198,Noche,Linea 1,166,3,Ramírez,Elena
"Feb 5, 2025",199,Mañana,Linea 1,203,4,Fernández,José
"Feb 5, 2025",200,Tarde,Linea 1,154,5,López,Pedro
"Feb 5, 2025",201,Noche,Linea 1,191,6,Morales,Patricia
"Feb 6, 2025",202,Mañana,Linea 1,228,7,Sánchez,Miguel
"Feb 6, 2025",203,Tarde,Linea 1,179,8,Rodríguez,Laura
"Feb 6, 2025",204,Noche,Linea 1,216,9,Martínez,Ana
"Feb 7, 2025",205,Mañana,Linea 1,167,10,Díaz,Antonio
"Feb 7, 2025",206,Tarde,Linea 1,204,11,Pérez,Carmen
"Feb 7, 2025",207,Noche,Linea 1,155,12,González,Luis
"Feb 8, 2025",208,Mañana,Linea 1,192,0,García,Carlos
"Feb 8, 2025",209,Tarde,Linea 1,229,1,Torres,Javier
"Feb 8, 2025",210,Noche,Linea 1,180,2,Flores,Rosa
"Feb 9, 2025",211,Mañana,Linea 1,217,3,Hernández,María
"Feb 9, 2025",212,Tarde,Linea 1,168,4,Ruiz,Francisco
"Feb 9, 2025",213,Noche,Linea 1,205,5,Ramírez,Elena
"Feb 10, 2025",214,Mañana,Linea 1,156,6,Fernández,José
"Feb 10, 2025",215,Tarde,Linea 1,193,7,López,Pedro
"Feb 10, 2025",216,Noche,Linea 1,230,8,Morales,Patricia
"Feb 11, 2025",217,Mañana,Linea 1,181,9,Sánchez,Miguel
"Feb 11, 2025",218,Tarde,Linea 1,218,10,Rodríguez,Laura
"Feb 11, 2025",219,Noche,Linea 1,169,11,Martínez,Ana
"Feb 12, 2025",220,Mañana,Linea 1,206,12,Díaz,Antonio
"Feb 12, 2025",221,Tarde,Linea 1,157,0,Pérez,Carmen
"Feb 12, 2025",222,Noche,Linea 1,194,1,González,Luis
"Feb 13, 2025",223,Mañana,Linea 1,231,2,García,Carlos
"Feb 13, 2025",224,Tarde,Linea 1,182,3,Torres,Javier
"Feb 13, 2025",225,Noche,Linea 1,219,4,Flores,Rosa
"Feb 14, 2025",226,Mañana,Linea 1,170,5,Hernández,María
"Feb 14, 2025",227,Tarde,Linea 1,207,6,Ruiz,Francisco
"Feb 14, 2025",228,Noche,Linea 1,158,7,Ramírez,Elena
"Feb 15, 2025",229,Mañana,Linea 1,195,8,Fernández,José
"Feb 15, 2025",230,Tarde,Linea 1,232,9,López,Pedro
"Feb 15, 2025",231,Noche,Linea 1,183,10,Morales,Patricia
"Feb 16, 2025",232,Mañana,Linea 1,220,11,Sánchez,Miguel
"Feb 16, 2025",233,Tarde,Linea 1,171,12,Rodríguez,Laura
"Feb 16, 2025",234,Noche,Linea 1,208,0,Martínez,Ana
"Feb 17, 2025",235,Mañana,Linea 1,159,1,Díaz,Antonio
"Feb 17, 2025",236,Tarde,Linea 1,196,2,Pérez,Carmen
"Feb 17, 2025",237,Noche,Linea 1,233,3,González,Luis
"Feb 18, 2025",238,Mañana,Linea 1,184,4,García,Carlos
"Feb 18, 2025",239,Tarde,Linea 1,221,5,Torres,Javier
"Feb 18, 2025",240,Noche,Linea 1,172,6,Flores,Rosa
"Feb 19, 2025",241,Mañana,Linea 1,209,7,Hernández,María
"Feb 19, 2025",242,Tarde,Linea 1,160,8,Ruiz,Francisco
"Feb 19, 2025",243,Noche,Linea 1,197,9,Ramírez,Elena
"Feb 20, 2025",244,Mañana,Linea 1,234,10,Fernández,José
"Feb 20, 2025",245,Tarde,Linea 1,185,11,López,Pedro
"Feb 20, 2025",246,Noche,Linea 1,222,12,Morales,Patricia
"Feb 21, 2025",247,Mañana,Linea 1,173,0,Sánchez,Miguel
"Feb 21, 2025",248,Tarde,Linea 1,210,1,Rodríguez,Laura
"Feb 21, 2025",249,Noche,Linea 1,161,2,Martínez,Ana
"Feb 22, 2025",250,Mañana,Linea 1,198,3,Díaz,Antonio
"Feb 22, 2025",251,Tarde,Linea 1,235,4,Pérez,Carmen
"Feb 22, 2025",252,Noche,Linea 1,186,5,González,Luis
"Feb 23, 2025",253,Mañana,Linea 1,223,6,García,Carlos
"Feb 23, 2025",254,Tarde,Linea 1,174,7,Torres,Javier
"Feb 23, 2025",255,Noche,Linea 1,211,8,Flores,Rosa
"Feb 24, 2025",256,Mañana,Linea 1,162,9,Hernández,María
"Feb 24, 2025",257,Tarde,Linea 1,199,10,Ruiz,Francisco
"Feb 24, 2025",258,Noche,Linea 1,150,11,Ramírez,Elena
"Feb 25, 2025",259,Mañana,Linea 1,187,12,Fernández,José
"Feb 25, 2025",260,Tarde,Linea 1,224,0,López,Pedro
"Feb 25, 2025",261,Noche,Linea 1,175,1,Morales,Patricia
"Feb 26, 2025",262,Mañana,Linea 1,212,2,Sánchez,Miguel
"Feb 26, 2025",263,Tarde,Linea 1,163,3,Rodríguez,Laura
"Feb 26, 2025",264,Noche,Linea 1,200,4,Martínez,Ana
"Feb 27, 2025",265,Mañana,Linea 1,151,5,Díaz,Antonio
"Feb 27, 2025",266,Tarde,Linea 1,188,6,Pérez,Carmen
"Feb 27, 2025",267,Noche,Linea 1,225,7,González,Luis
"Feb 28, 2025",268,Mañana,Linea 1,176,8,García,Carlos
"Feb 28, 2025",269,Tarde,Linea 1,213,9,Torres,Javier
"Feb 28, 2025",270,Noche,Linea 1,164,10,Flores,Rosa
"Mar 1, 2025",271,Mañana,Linea 1,201,11,Hernández,María
"Mar 1, 2025",272,Mañana,Linea 2,152,12,Ruiz,Francisco
"Mar 1, 2025",273,Tarde,Linea 1,189,0,Ramírez,Elena
"Mar 1, 2025",274,Tarde,Linea 2,226,1,Fernández,José
"Mar 1, 2025",275,Noche,Linea 1,177,2,López,Pedro
"Mar 1, 2025",276,Noche,Linea 2,214,3,Morales,Patricia
"Mar 2, 2025",277,Mañana,Linea 1,165,4,Sánchez,Miguel
"Mar 2, 2025",278,Mañana,Linea 2,202,5,Rodríguez,Laura
"Mar 2, 2025",279,Tarde,Linea 1,153,6,Martínez,Ana
"Mar 2, 2025",280,Tarde,Linea 2,190,7,Díaz,Antonio
"Mar 2, 2025",281,Noche,Linea 1,227,8,Pérez,Carmen
"Mar 2, 2025",282,Noche,Linea 2,178,9,González,Luis
"Mar 3, 2025",283,Mañana,Linea 1,215,10,García,Carlos
"Mar 3, 2025",284,Mañana,Linea 2,166,11,Torres,Javier
"Mar 3, 2025",285,Tarde,Linea 1,203,12,Flores,Rosa
"Mar 3, 2025",286,Tarde,Linea 2,154,0,Hernández,María
"Mar 3, 2025",287,Noche,Linea 1,191,1,Ruiz,Francisco
"Mar 3, 2025",288,Noche,Linea 2,228,2,Ramírez,Elena
"Mar 4, 2025",289,Mañana,Linea 1,179,3,Fernández,José
"Mar 4, 2025",290,Mañana,Linea 2,216,4,López,Pedro
"Mar 4, 2025",291,Tarde,Linea 1,167,5,Morales,Patricia
"Mar 4, 2025",292,Tarde,Linea 2,204,6,Sánchez,Miguel
"Mar 4, 2025",293,Noche,Linea 1,155,7,Rodríguez,Laura
"Mar 4, 2025",294,Noche,Linea 2,192,8,Martínez,Ana
"Mar 5, 2025",295,Mañana,Linea 1,229,9,Díaz,Antonio
"Mar 5, 2025",296,Mañana,Linea 2,180,10,Pérez,Carmen
"Mar 5, 2025",297,Tarde,Linea 1,217,11,González,Luis
"Mar 5, 2025",298,Tarde,Linea 2,168,12,García,Carlos
"Mar 5, 2025",299,Noche,Linea 1,205,0,Torres,Javier
"Mar 5, 2025",300,Noche,Linea 2,156,1,Flores,Rosa
"Mar 6, 2025",301,Mañana,Linea 1,193,2,Hernández,María
"Mar 6, 2025",302,Mañana,Linea 2,230,3,Ruiz,Francisco
"Mar 6, 2025",303,Tarde,Linea 1,181,4,Ramírez,Elena
"Mar 6, 2025",304,Tarde,Linea 2,218,5,Fernández,José
"Mar 6, 2025",305,Noche,Linea 1,169,6,López,Pedro
"Mar 6, 2025",306,Noche,Linea 2,206,7,Morales,Patricia
"Mar 7, 2025",307,Mañana,Linea 1,157,8,Sánchez,Miguel
"Mar 7, 2025",308,Mañana,Linea 2,194,9,Rodríguez,Laura
"Mar 7, 2025",309,Tarde,Linea 1,231,10,Martínez,Ana
"Mar 7, 2025",310,Tarde,Linea 2,182,11,Díaz,Antonio
"Mar 7, 2025",311,Noche,Linea 1,219,12,Pérez,Carmen
"Mar 7, 2025",312,Noche,Linea 2,170,0,González,Luis
"Mar 8, 2025",313,Mañana,Linea 1,207,1,García,Carlos
"Mar 8, 2025",314,Mañana,Linea 2,158,2,Torres,Javier
"Mar 8, 2025",315,Tarde,Linea 1,195,3,Flores,Rosa
"Mar 8, 2025",316,Tarde,Linea 2,232,4,Hernández,María
"Mar 8, 2025",317,Noche,Linea 1,183,5,Ruiz,Francisco
"Mar 8, 2025",318,Noche,Linea 2,220,6,Ramírez,Elena
"Mar 9, 2025",319,Mañana,Linea 1,171,7,Fernández,José
"Mar 9, 2025",320,Mañana,Linea 2,208,8,López,Pedro
"Mar 9, 2025",321,Tarde,Linea 1,159,9,Morales,Patricia
"Mar 9, 2025",322,Tarde,Linea 2,196,10,Sánchez,Miguel
"Mar 9, 2025",323,Noche,Linea 1,233,11,Rodríguez,Laura
"Mar 9, 2025",324,Noche,Linea 2,184,12,Martínez,Ana
"Mar 10, 2025",325,Mañana,Linea 1,221,0,Díaz,Antonio
"Mar 10, 2025",326,Mañana,Linea 2,172,1,Pérez,Carmen
"Mar 10, 2025",327,Tarde,Linea 1,209,2,González,Luis
"Mar 10, 2025",328,Tarde,Linea 2,160,3,García,Carlos
"Mar 10, 2025",329,Noche,Linea 1,197,4,Torres,Javier
"Mar 10, 2025",330,Noche,Linea 2,234,5,Flores,Rosa
"Mar 11, 2025",331,Mañana,Linea 1,185,6,Hernández,María
"Mar 11, 2025",332,Mañana,Linea 2,222,7,Ruiz,Francisco
"Mar 11, 2025",333,Tarde,Linea 1,173,8,Ramírez,Elena
"Mar 11, 2025",334,Tarde,Linea 2,210,9,Fernández,José
"Mar 11, 2025",335,Noche,Linea 1,161,10,López,Pedro
"Mar 11, 2025",336,Noche,Linea 2,198,11,Morales,Patricia
"Mar 12, 2025",337,Mañana,Linea 1,235,12,Sánchez,Miguel
"Mar 12, 2025",338,Mañana,Linea 2,186,0,Rodríguez,Laura
"Mar 12, 2025",339,Tarde,Linea 1,223,1,Martínez,Ana
"Mar 12, 2025",340,Tarde,Linea 2,174,2,Díaz,Antonio
"Mar 12, 2025",341,Noche,Linea 1,211,3,Pérez,Carmen
"Mar 12, 2025",342,Noche,Linea 2,162,4,González,Luis
"Mar 13, 2025",343,Mañana,Linea 1,199,5,García,Carlos
"Mar 13, 2025",344,Mañana,Linea 2,150,6,Torres,Javier
"Mar 13, 2025",345,Tarde,Linea 1,187,7,Flores,Rosa
"Mar 13, 2025",346,Tarde,Linea 2,224,8,Hernández,María
"Mar 13, 2025",347,Noche,Linea 1,175,9,Ruiz,Francisco
"Mar 13, 2025",348,Noche,Linea 2,212,10,Ramírez,Elena
"Mar 14, 2025",349,Mañana,Linea 1,163,11,Fernández,José
"Mar 14, 2025",350,Mañana,Linea 2,200,12,López,Pedro
"Mar 14, 2025",351,Tarde,Linea 1,151,0,Morales,Patricia
"Mar 14, 2025",352,Tarde,Linea 2,188,1,Sánchez,Miguel
"Mar 14, 2025",353,Noche,Linea 1,225,2,Rodríguez,Laura
"Mar 14, 2025",354,Noche,Linea 2,176,3,Martínez,Ana
"Mar 15, 2025",355,Mañana,Linea 1,213,4,Díaz,Antonio
"Mar 15, 2025",356,Mañana,Linea 2,164,5,Pérez,Carmen
"Mar 15, 2025",357,Tarde,Linea 1,201,6,González,Luis
"Mar 15, 2025",358,Tarde,Linea 2,152,7,García,Carlos
"Mar 15, 2025",359,Noche,Linea 1,189,8,Torres,Javier
"Mar 15, 2025",360,Noche,Linea 2,226,9,Flores,Rosa
"Mar 16, 2025",361,Mañana,Linea 1,177,10,Hernández,María
"Mar 16, 2025",362,Mañana,Linea 2,214,11,Ruiz,Francisco
"Mar 16, 2025",363,Tarde,Linea 1,165,12,Ramírez,Elena
"Mar 16, 2025",364,Tarde,Linea 2,202,0,Fernández,José
"Mar 16, 2025",365,Noche,Linea 1,153,1,López,Pedro
"Mar 16, 2025",366,Noche,Linea 2,190,2,Morales,Patricia
"Mar 17, 2025",367,Mañana,Linea 1,227,3,Sánchez,Miguel
"Mar 17, 2025",368,Mañana,Linea 2,178,4,Rodríguez,Laura
"Mar 17, 2025",369,Tarde,Linea 1,215,5,Martínez,Ana
"Mar 17, 2025",370,Tarde,Linea 2,166,6,Díaz,Antonio
"Mar 17, 2025",371,Noche,Linea 1,203,7,Pérez,Carmen
"Mar 17, 2025",372,Noche,Linea 2,154,8,González,Luis
"Mar 18, 2025",373,Mañana,Linea 1,191,9,García,Carlos
"Mar 18, 2025",374,Mañana,Linea 2,228,10,Torres,Javier
"Mar 18, 2025",375,Tarde,Linea 1,179,11,Flores,Rosa
"Mar 18, 2025",376,Tarde,Linea 2,216,12,Hernández,María
"Mar 18, 2025",377,Noche,Linea 1,167,0,Ruiz,Francisco
"Mar 18, 2025",378,Noche,Linea 2,204,1,Ramírez,Elena
"Mar 19, 2025",379,Mañana,Linea 1,155,2,Fernández,José
"Mar 19, 2025",380,Mañana,Linea 2,192,3,López,Pedro
"Mar 19, 2025",381,Tarde,Linea 1,229,4,Morales,Patricia
